Country or Area,City,Source Year,Value,ISO3166-1-Alpha-2,ISO3166-1-Alpha-3
China,Panzhihua,2002,690739,CN,CHN
China,Zunyi,2002,691694,CN,CHN
Japan,Shizuoka,2022,693389,JP,JPN
China,Linqing,2002,694247,CN,CHN
China,Hegang,2002,694640,CN,CHN
China,Wugang (Hunan),2002,694847,CN,CHN
China,Nankang,2002,694987,CN,CHN
China,Zhenjiang,2002,695663,CN,CHN
Canada,Kitchener-Cambridge-Waterloo,2025,696417,CA,CAN
Uzbekistan,Namangan,2024,696520,UZ,UZB
Brazil,São José dos Campos,2024,697054,BR,BRA
China,Wuhu,2002,697197,CN,CHN
Philippines,General Santos,2023,697315,PH,PHL
China,Yingko,2002,698059,CN,CHN
Lao People's Democratic Republic,VIENTIANE,2012,698318,LA,LAO
Brazil,Ribeirão Preto,2024,698642,BR,BRA
Norway,OSLO,2024,699827,NO,NOR
China,Yuanjiang,2002,700236,CN,CHN
Canada,Surrey,2025,700459,CA,CAN
United States of America,Oklahoma City (OK),2024,702767,US,USA
Thailand,Khon Kaen,2013,703123,TH,THA
Philippines,Dasmariñas,2023,703141,PH,PHL
Mexico,Chimalhuacan,2021,703215,MX,MEX
Nigeria,Port Harcourt,2002,703421,NG,NGA
Indonesia,Balikpapan,2024,703611,ID,IDN
Gabon,LIBREVILLE,2016,703939,GA,GAB
India,Warangal,2017,704570,IN,IND
India,Saharanpur,2017,705478,IN,IND
Ukraine,Zaporozhye,2022,706116,UA,UKR
China,Xiangtan,2002,707783,CN,CHN
Bangladesh,Rangpur City Corporation,2023,708570,BD,BGD
India,Bhiwandi,2017,709665,IN,IND
Ukraine,Lviv,2022,710606,UA,UKR
Mexico,Tlaxcala,2024,711653,MX,MEX
China,Yangzhou,2002,711993,CN,CHN
China,Yichang,2002,712738,CN,CHN
Brazil,Uberlândia,2024,713224,BR,BRA
China,Tongxiang,2002,713399,CN,CHN
China,Dashiqiao,2002,714670,CN,CHN
Philippines,Valenzuela,2023,714978,PH,PHL
China,Langfang,2002,715388,CN,CHN
China,Zhoushan,2002,715685,CN,CHN
Sweden,Göteborg,2024,715881,SE,SWE
United States of America,Denver (CO),2024,716577,US,USA
Mexico,Celaya,2024,716906,MX,MEX
Algeria,Qacentina (Constantine),2016,717646,DZ,DZA
Russian Federation,Tolyatti,2013,719363,RU,RUS
China,Wuxue,2002,719426,CN,CHN
Algeria,El Boulaïda (Blida),2016,719515,DZ,DZA
Bangladesh,Khulna City Corporation,2023,719557,BD,BGD
China,Xingyi,2002,719605,CN,CHN
China,Hailun,2002,720008,CN,CHN
China,Wuan,2002,720196,CN,CHN
China,Shangyu,2002,722523,CN,CHN
China,Lingbao,2002,722890,CN,CHN
Brazil,Sorocaba,2024,723682,BR,BRA
China,Linfen,2002,724403,CN,CHN
Japan,Okayama,2022,724691,JP,JPN
Japan,Sagamihara,2022,725493,JP,JPN
Indonesia,Denpasar,2024,726808,ID,IDN
China,Zhaotong,2002,727959,CN,CHN
Egypt,Suez,2018,728180,EG,EGY
Philippines,Cagayan de Oro,2023,728402,PH,PHL
China,Liaoyang,2002,728492,CN,CHN
Brazil,Osasco,2024,728615,BR,BRA
Côte d'Ivoire,Bouake,2023,728733,CI,CIV
China,Laixi,2002,728796,CN,CHN
China,Leping,2002,729639,CN,CHN
China,Cenxi,2002,731623,CN,CHN
China,Rongcheng,2002,732147,CN,CHN
Iran (Islamic Republic of),Orumiyeh,2017,736224,IR,IRN
Mexico,Victoria de Durango,2024,737756,MX,MEX
Japan,Kumamoto,2022,738865,JP,JPN
China,Liyang,2002,740871,CN,CHN
China,Huaibei,2002,741195,CN,CHN
South Africa,PRETORIA,2011,741651,ZA,ZAF
China,Jiaozuo,2002,747299,CN,CHN
Brazil,Santo André,2024,748919,BR,BRA
China,Shuangcheng,2002,749182,CN,CHN
Egypt,Port Said,2018,749371,EG,EGY
China,Kunshan,2002,750074,CN,CHN
Brazil,Natal,2024,751300,BR,BRA
China,Dongyang,2002,753094,CN,CHN
United States of America,Seattle (WA),2024,755078,US,USA
China,Enshi,2002,755725,CN,CHN
Canada,Vancouver,2025,756008,CA,CAN
China,Dafeng,2002,756766,CN,CHN
Türkiye,Erzurum,2023,756893,TR,TUR
Thailand,Pathum Thani,2013,757175,TH,THA
China,Hejian,2002,757581,CN,CHN
China,Pulandian,2002,757844,CN,CHN
China,Gaocheng,2002,758269,CN,CHN
Malaysia,M.B. Ipoh,2022,759952,MY,MYS
Türkiye,Ordu,2023,760872,TR,TUR
Republic of Korea,Bucheon (Puchon),2002,761389,KR,KOR
Nigeria,Benin City,2002,762719,NG,NGA
Republic of Korea,Goyang,2002,763971,KR,KOR
Malaysia,M.P. Selayang,2022,764327,MY,MYS
Australia,Gold Coast-Tweed Heads,2025,765054,AU,AUS
United Republic of Tanzania,DODOMA,2024,765179,TZ,TZA
Croatia,ZAGREB,2024,767131,HR,HRV
China,Anshun,2002,767307,CN,CHN
Algeria,Batna,2016,768444,DZ,DZA
China,Foshan,2002,768656,CN,CHN
China,Renqiu,2002,768900,CN,CHN
China,Anyang,2002,768992,CN,CHN
China,Pengzhou,2002,770749,CN,CHN
China,Nantong,2002,771386,CN,CHN
Malaysia,M.B. Petaling Jaya,2022,771687,MY,MYS
Germany,Frankfurt am Main,2024,773068,DE,DEU
Russian Federation,Krasnodar,2013,773970,RU,RUS
South Africa,Port Elizabeth,2000,775255,ZA,ZAF
Mexico,Acapulco,2024,775341,MX,MEX
China,Xinxiang,2002,775941,CN,CHN
Mexico,Naucalpan de Juárez,2021,776220,MX,MEX
China,Huixian,2002,776326,CN,CHN
China,Gongyi,2002,777202,CN,CHN
China,Xinyu,2002,778391,CN,CHN
China,Chaohu,2002,778864,CN,CHN
China,Xinmi,2002,779014,CN,CHN
China,Dandong,2002,780414,CN,CHN
Canada,Mississauga,2025,780747,CA,CAN
China,Pingxiang (Jiangxi),2002,783445,CN,CHN
China,Jiaozhou,2002,783478,CN,CHN
Brazil,Nova Iguaçu,2024,785867,BR,BRA
China,Lichuan,2002,786984,CN,CHN
China,Langzhong,2002,787809,CN,CHN
India,Thiruvananthapuram,2017,788271,IN,IND
China,Gaoan,2002,788329,CN,CHN
China,Dongying,2002,788844,CN,CHN
Japan,Niigata,2022,789275,JP,JPN
Spain,Bilbao,2024,790197,ES,ESP
Poland,Kraków,2023,790279,PL,POL
Japan,Hamamatsu,2022,790718,JP,JPN
Canada,Brampton,2025,791486,CA,CAN
Mexico,Oaxaca,2024,792799,MX,MEX
China,Tongliao,2002,793913,CN,CHN
Malaysia,M.B. Pulau Pinang,2022,794313,MY,MYS
China,Changning,2002,795223,CN,CHN
China,Kaifeng,2002,796171,CN,CHN
Thailand,Nonthaburi,2013,797739,TH,THA
China,Gaoyou,2002,797752,CN,CHN
China,Meishan,2002,799309,CN,CHN
China,Jiutai,2002,799729,CN,CHN
China,Suihua,2002,800207,CN,CHN
Malawi,Blantyre City,2019,800264,MW,MWI
Thailand,Songkhla,2013,800970,TH,THA
Philippines,Pasig,2023,803159,PH,PHL
China,Guilin,2002,804571,CN,CHN
Netherlands (Kingdom of the),s-Gravenhage,2024,804675,NL,NLD
China,Yinchuan,2002,807487,CN,CHN
China,Xiangxiang,2002,807718,CN,CHN
Brazil,Duque de Caxias,2024,808161,BR,BRA
Türkiye,Malatya,2023,808692,TR,TUR
United States of America,San Francisco (CA),2024,808988,US,USA
China,Yibin,2002,809099,CN,CHN
India,Mira Bhayandar,2017,809378,IN,IND
China,Bengbu,2002,809399,CN,CHN
China,Yingde,2002,810446,CN,CHN
Brazil,São Bernardo do Campo,2024,810729,BR,BRA
Malaysia,M.B. Shah Alam,2022,812327,MY,MYS
China,Yichun (Heilongjiang),2002,814016,CN,CHN
China,Yanshi,2002,816026,CN,CHN
China,Longhai,2002,816318,CN,CHN
Türkiye,Trabzon,2023,816684,TR,TUR
China,Qinhuangdao,2002,817487,CN,CHN
China,Yuhang,2002,817715,CN,CHN
China,Wuchuan,2002,822482,CN,CHN
China,Xuancheng,2002,822707,CN,CHN
Algeria,El Djelfa,2016,825411,DZ,DZA
Japan,Sakai (Osaka),2022,826161,JP,JPN
Qatar,Al-Rayyan,2022,826786,QA,QAT
China,Jiaonan,2002,827771,CN,CHN
India,Salem,2017,829267,IN,IND
China,Haikou,2002,830192,CN,CHN
China,Zhaodong,2002,832657,CN,CHN
China,Zhuhai,2002,833908,CN,CHN
Mexico,Xalapa,2024,833930,MX,MEX
Brazil,João Pessoa,2024,833932,BR,BRA
Indonesia,Samarinda,2024,834824,ID,IDN
China,Zhuanghe,2002,835062,CN,CHN
China,Danzhou,2002,835465,CN,CHN
Russian Federation,Saratov,2013,838321,RU,RUS
China,Yangchun,2002,840581,CN,CHN
China,Gaomi,2002,842403,CN,CHN
China,Ankang,2002,843426,CN,CHN
Canada,Winnipeg,2025,843640,CA,CAN
Indonesia,Malang,2024,846126,ID,IDN
China,Baoshan,2002,846865,CN,CHN
India,Tiruchirappalli,2017,847387,IN,IND
Italy,Torino,2024,847398,IT,ITA
China,Jiangyou,2002,849761,CN,CHN
China,Hezhou,2002,850023,CN,CHN
Dominican Republic,Santo Domingo East,2012,851853,DO,DOM
China,Yuyao,2002,852719,CN,CHN
China,Xining,2002,854466,CN,CHN
Algeria,Stif (Sétif),2016,856457,DZ,DZA
China,Wujiang,2002,857104,CN,CHN
Malaysia,M.B. Johor Bahru (Johor Bahru),2022,858118,MY,MYS
