Country or Area,City,Source Year,Value,ISO3166-1-Alpha-2,ISO3166-1-Alpha-3
China,Haicheng,2002,1181130,CN,CHN
Bulgaria,SOFIA,2023,1183400,BG,BGR
Iran (Islamic Republic of),Ahwaz,2017,1184788,IR,IRN
China,Bazhong,2002,1185862,CN,CHN
Qatar,DOHA,2022,1186023,QA,QAT
Canada,Edmonton,2025,1190458,CA,CAN
China,Quanzhou,2002,1192286,CN,CHN
India,Kalyan,2007,1193512,IN,IND
Serbia,BEOGRAD (BELGRADE),2024,1197714,RS,SRB
India,Varanasi,2017,1198491,IN,IND
China,Huaian,2002,1200679,CN,CHN
Japan,Hiroshima,2022,1200754,JP,JPN
Iran (Islamic Republic of),Qom,2017,1201158,IR,IRN
China,Lianjiang,2002,1205764,CN,CHN
India,Srinagar,2017,1206419,IN,IND
China,Ruian,2002,1207788,CN,CHN
Kenya,Mombasa,2021,1208112,KE,KEN
United Kingdom of Great Britain and Northern Ireland,Glasgow,2013,1209143,GB,GBR
Indonesia,Bandar Lampung,2024,1209937,ID,IDN
